Textbox7,Textbox1,Textbox3,Textbox12,Textbox11,Textbox5,Textbox18,Textbox19,Textbox14,Textbox17,Textbox15,InventSiteId,CountedPd,CorrectPd,AccuracyPd,CountedMtd,CorrectMtd,AccuracyMtd,CountedYtd,CorrectYtd,AccuracyYtd,Textbox9,Textbox32,Textbox33,Textbox2,Textbox35,Textbox36,Textbox4,Textbox38,Textbox39,Textbox6
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7106,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7107,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7108,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7109,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,7110,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,8101,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,8102,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,8103,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,8104,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,8105,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,9101,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,9102,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000
"Cycle count accuracy

4/11/2020 11:25 AM
",Site,Counted Pd,Correct Pd,Accuracy Pd,Counted Mtd,Correct Mtd,Accuracy Mtd,Counted Ytd,Correct Ytd,Accuracy Ytd,9103,0,0,0,0,0,0,0,0,0,Total,0,0,0,18,18,10000,39,39,10000

